Date,Open,High,Low,Close,Adj Close,Volume
2018-09-14,239.000000,239.000000,234.470001,235.380005,220.665253,3875300
2018-09-17,234.059998,234.589996,231.509995,232.000000,217.496597,2884600
2018-09-18,231.979996,235.470001,231.699997,234.350006,219.699661,2000200
2018-09-19,234.619995,234.740005,232.419998,233.850006,219.230927,1581400
2018-09-20,234.600006,235.000000,232.320007,233.919998,219.296509,1910100
2018-09-21,234.369995,235.839996,234.009995,234.759995,220.084000,3717800
2018-09-24,234.190002,234.850006,232.899994,233.339996,218.752747,1530400
2018-09-25,234.029999,234.660004,232.729996,232.929993,218.368423,1889700
2018-09-26,233.570007,235.660004,233.449997,233.809998,219.193405,2008500
2018-09-27,233.699997,235.669998,232.339996,234.000000,219.371490,1421400
2018-09-28,233.860001,235.470001,233.789993,234.880005,220.196472,1602800
2018-10-01,235.809998,236.529999,234.429993,234.649994,219.980881,1673100
2018-10-02,234.100006,237.570007,233.869995,236.350006,221.574600,1647600
2018-10-03,236.619995,237.309998,232.729996,233.199997,218.621521,2322300
2018-10-04,233.259995,234.000000,230.660004,231.679993,217.196548,2862800
2018-10-05,225.000000,227.059998,217.789993,218.820007,205.140488,7379000
2018-10-08,219.339996,224.500000,219.259995,223.929993,209.931030,3863500
2018-10-09,224.149994,225.149994,222.559998,224.169998,210.156052,2502800
2018-10-10,224.100006,225.000000,221.039993,221.050003,207.231110,3021400
2018-10-11,222.910004,225.320007,220.929993,221.820007,207.952972,3650900
2018-10-12,225.199997,227.619995,223.389999,226.949997,212.762192,3130500
2018-10-15,226.250000,226.940002,224.250000,224.509995,210.474762,2441900
2018-10-16,224.869995,228.259995,224.320007,227.679993,213.446594,2541800
2018-10-17,228.449997,228.880005,225.509995,228.490005,214.205978,2129300
2018-10-18,228.539993,230.649994,226.250000,228.580002,214.290344,2624600
2018-10-19,228.899994,230.630005,228.720001,229.669998,215.312241,2099800
2018-10-22,229.880005,230.250000,227.270004,229.059998,214.740341,2007300
2018-10-23,227.070007,229.259995,223.820007,228.750000,214.449707,2656700
2018-10-24,225.929993,231.089996,223.089996,223.759995,209.771652,3100200
2018-10-25,224.059998,227.589996,222.839996,226.399994,212.246628,2218900
2018-10-26,222.309998,225.000000,217.000000,218.190002,204.549896,3995400
2018-10-29,219.750000,224.889999,218.750000,222.419998,208.515442,3801400
2018-10-30,223.100006,228.210007,223.009995,227.919998,213.671600,2410500
2018-10-31,228.649994,230.559998,225.559998,228.630005,214.337219,2674600
2018-11-01,228.179993,230.800003,227.539993,229.600006,215.246567,2095000
2018-11-02,229.809998,232.229996,227.179993,230.160004,215.771561,2167200
2018-11-05,230.710007,234.889999,229.800003,234.449997,219.793365,2513900
2018-11-06,235.000000,237.490005,234.179993,236.710007,221.912064,2101300
2018-11-07,238.750000,240.880005,236.940002,240.369995,225.343292,2603600
2018-11-08,238.509995,239.800003,237.029999,238.699997,224.309601,2140600
2018-11-09,237.970001,240.259995,237.070007,237.740005,223.407486,2256700
2018-11-12,237.639999,239.199997,234.130005,234.479996,220.343994,2301400
2018-11-13,234.750000,236.419998,232.770004,234.139999,220.024506,1548100
2018-11-14,237.119995,237.119995,231.710007,233.309998,219.244583,1896500
2018-11-15,232.320007,232.649994,227.000000,229.940002,216.077744,2722300
2018-11-16,229.300003,231.119995,226.520004,231.020004,217.092606,2822400
2018-11-19,231.610001,233.500000,227.809998,228.740005,214.950058,1949500
2018-11-20,224.919998,225.000000,218.050003,219.309998,206.088562,3704800
2018-11-21,220.559998,222.029999,217.449997,218.570007,205.393188,2036500
2018-11-23,218.100006,221.179993,217.660004,220.059998,206.793381,1007500
2018-11-26,222.850006,223.479996,218.899994,219.449997,206.220139,2205600
2018-11-27,219.369995,223.119995,218.380005,223.009995,209.565506,2369800
2018-11-28,222.779999,230.460007,222.190002,230.339996,216.453613,2765600
2018-11-29,229.000000,231.589996,228.360001,231.000000,217.073807,1478700
2018-11-30,231.690002,233.389999,229.699997,231.279999,217.336960,2764000
2018-12-03,230.720001,232.199997,228.210007,232.080002,218.088760,2481500
2018-12-04,232.110001,233.300003,225.559998,226.350006,212.704178,3418600
2018-12-06,227.940002,233.860001,226.600006,233.199997,219.141190,4029800
2018-12-07,233.149994,233.809998,223.029999,224.860001,211.303955,2881900
2018-12-10,224.539993,225.199997,219.110001,222.660004,209.236618,2650000
2018-12-11,225.119995,227.250000,224.000000,226.500000,212.845078,2466800
2018-12-12,228.350006,230.449997,227.070007,227.800003,214.066742,2891400
2018-12-13,228.839996,229.619995,225.479996,226.509995,212.854507,2170200
2018-12-14,218.000000,219.000000,205.509995,207.059998,194.577072,8822300
2018-12-17,206.679993,208.000000,200.660004,202.229996,190.038239,4739400
2018-12-18,203.089996,204.669998,201.570007,202.990005,190.752441,3308500
2018-12-19,203.500000,207.000000,199.860001,201.410004,189.267715,3369600
2018-12-20,200.330002,200.699997,193.679993,197.130005,185.245728,4250900
2018-12-21,197.160004,200.699997,194.320007,194.520004,182.793045,5080200
2018-12-24,193.899994,195.330002,189.800003,189.990005,178.536179,2031700
2018-12-26,190.820007,198.779999,189.509995,198.630005,186.655304,3268800
2018-12-27,196.960007,201.130005,193.960007,201.080002,188.957581,2705900
2018-12-28,201.820007,204.949997,199.589996,202.039993,189.859711,2037800
2018-12-31,203.380005,204.389999,201.380005,203.710007,191.429062,1729400
2019-01-02,200.500000,205.100006,199.850006,204.759995,192.415756,2143100
2019-01-03,203.699997,205.940002,200.039993,200.419998,188.337372,2877700
2019-01-04,203.080002,207.929993,201.449997,206.240005,193.806503,2761600
2019-01-07,205.520004,209.119995,203.539993,207.000000,194.520676,2226600
2019-01-08,208.649994,209.080002,204.179993,208.550003,195.977280,2366500
2019-01-09,209.149994,211.220001,207.919998,209.899994,197.245850,1862900
2019-01-10,208.149994,210.899994,206.000000,210.639999,197.941269,2340700
2019-01-11,210.039993,211.250000,209.309998,210.509995,197.819061,1861100
2019-01-14,209.470001,210.649994,208.160004,209.000000,196.400162,1523100
2019-01-15,210.039993,211.339996,209.080002,211.029999,198.307739,1681900
2019-01-16,211.460007,211.460007,209.500000,210.179993,197.508957,1455000
2019-01-17,209.869995,211.649994,209.649994,211.460007,198.711838,1517100
2019-01-18,212.559998,214.160004,211.770004,213.589996,200.713394,2115400
2019-01-22,213.000000,215.559998,210.800003,212.399994,199.595139,3310800
2019-01-23,213.000000,214.850006,210.000000,212.089996,199.303833,2220200
2019-01-24,212.389999,212.389999,208.899994,210.309998,197.631165,1994400
2019-01-25,212.029999,212.320007,208.740005,209.070007,196.465912,2252300
2019-01-28,208.679993,210.789993,207.309998,210.770004,198.063400,1999400
2019-01-29,210.320007,210.539993,208.570007,210.309998,197.631165,1636500
2019-01-30,210.479996,212.169998,209.320007,211.350006,198.608490,1589800
2019-01-31,211.139999,214.880005,209.720001,214.630005,201.690689,4341100
2019-02-01,214.000000,215.000000,209.369995,210.270004,197.593552,3453700
2019-02-04,210.699997,211.190002,207.899994,211.179993,198.448685,1630300
